area_name, red_walking,red_surfing,red_fishing,red_other,blue_walking,blue_surfing,blue_fishing,blue_other,yellow_walking,yellow_surfing,yellow_fishing,yellow_other
Route 11,Main:Spearow/Ekans/Drowzee,None,Main~Super Rod:Shellder/Krabby~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Main~Trade:Nidorina,Main:Spearow/Sandshrew/Drowzee,None,Main~Super Rod:Shellder/Krabby~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Main~Trade:Nidorina,Main:Pidgey/Rattata/Raticate/Pidgeotto/Drowzee,None,Main~Super Rod:Tentacool/Horsea~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Main~Trade:Dugtrio
Route 12,Main:Pidgey/Oddish/Gloom/Venonat,None,Main~Super Rod:Tentacool/Krabby/Goldeen/Magikarp~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Main~Interact:Snorlax,Main:Pidgey/Bellsprout/Weepinbell/Venonat,None,Main~Super Rod:Tentacool/Krabby/Goldeen/Magikarp~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Main~Interact:Snorlax,Main:Oddish/Bellsprout/Gloom/Weepinbell/Farfetch'd/Pidgey/Pidgeotto,Main:Slowpoke/Slowbro,Main~Super Rod:Horsea/Seadra~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Main~Interact:Snorlax
Route 13,Main:Pidgey/Oddish/Gloom/Venonat/Ditto,None,Main~Super Rod:Tentacool/Krabby/Goldeen/Magikarp~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Pidgey/Bellsprout/Weepinbell/Venonat/Ditto,None,Main~Super Rod:Tentacool/Krabby/Goldeen/Magikarp~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Oddish/Bellsprout/Gloom/Weepinbell/Farfetch'd/Pidgey/Pidgeotto,Main:Slowpoke/Slowbro,Main~Super Rod:Horsea/Seadra/Tentacool~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Route 14,Main:Pidgey/Oddish/Gloom/Venonat/Ditto/Pidgeotto,None,None,None,Main:Pidgey/Bellsprout/Weepinbell/Venonat/Ditto/Pidgeotto,None,None,None,Main:Oddish/Bellsprout/Gloom/Weepinbell/Venonat/Venomoth/Pidgeotto,None,None,None
Route 15,Main:Pidgey/Oddish/Gloom/Venonat/Ditto/Pidgeotto,None,None,None,Main:Pidgey/Bellsprout/Weepinbell/Venonat/Ditto/Pidgeotto,None,None,None,Main:Oddish/Bellsprout/Gloom/Weepinbell/Venonat/Venomoth/Pidgeotto,None,None,None
Route 16,Main:Rattata/Spearow/Doduo/Raticate,None,None,Main~Interact:Snorlax,Main:Rattata/Spearow/Doduo/Raticate,None,None,Main~Interact:Snorlax,Main:Rattata/Spearow/Doduo/Raticate/Fearow,None,None,Main~Interact:Snorlax
Route 17,Main:Raticate/Spearow/Doduo/Fearow,None,Main~Super Rod:Tentacool/Krabby/Goldeen/Magikarp~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Raticate/Spearow/Doduo/Fearow,None,Main~Super Rod:Tentacool/Krabby/Goldeen/Magikarp~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Doduo/Dodrio/Fearow/Ponyta,None,Main~Super Rod:Tentacool/Shellder~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Route 18,Main:Raticate/Spearow/Doduo/Fearow,None,Main~Super Rod:Tentacool/Krabby/Goldeen/Magikarp~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Main~Trade:Lickitung,Main:Raticate/Spearow/Doduo/Fearow,None,Main~Super Rod:Tentacool/Krabby/Goldeen/Magikarp~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Main~Trade:Lickitung,Main:Rattata/Spearow/Doduo/Raticate/Fearow,None,Main~Super Rod:Tentacool/Shellder~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Main~Trade:Parasect
Route 19,None,Main:Tentacool,Main~Super Rod:Shellder/Horsea/Goldeen/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,None,Main:Tentacool,Main~Super Rod:Shellder/Horsea/Goldeen/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,None,Main:Tentacool,Main~Super Rod:Tentacool/Staryu/Tentacruel~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Route 20,None,Main:Tentacool,Main~Super Rod:Shellder/Horsea/Goldeen/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,None,Main:Tentacool,Main~Super Rod:Shellder/Horsea/Goldeen/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,None,Main:Tentacool,Main~Super Rod:Tentacool/Staryu/Tentacruel~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Route 21,Main:Pidgey/Rattata/Pidgeotto/Raticate/Tangela,Main:Tentacool,Main~Super Rod:Shellder/Horsea/Goldeen/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Pidgey/Rattata/Pidgeotto/Raticate/Tangela,Main:Tentacool,Main~Super Rod:Shellder/Horsea/Goldeen/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Pidgey/Rattata/Pidgeotto/Raticate,Main:Tentacool,Main~Super Rod:Tentacool/Staryu/Tentacruel~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Route 22,Main:Rattata/Nidoran♀/Nidoran♂/Spearow,None,Main~Super Rod:Poliwag/Goldeen~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Rattata/Nidoran♀/Nidoran♂/Spearow,None,Main~Super Rod:Poliwag/Goldeen~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Rattata/Nidoran♀/Nidoran♂/Spearow/Mankey,None,Main~Super Rod:Poliwag/Poliwhirl~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Route 23,Main:Fearow/Ekans/Ditto/Arbok/Spearow,None,Main~Super Rod:Slowbro/Kingler/Seadra/Seaking~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Fearow/Sandshrew/Ditto/Sandslash/Spearow,None,Main~Super Rod:Slowbro/Kingler/Seadra/Seaking~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Nidorina/Nidorino/Primeape/Fearow/Mankey,None,Main~Super Rod:Poliwag/Poliwhirl~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Route 24,Main:Weedle/Oddish/Kakuna/Pidgey/Abra,None,Main~Super Rod:Psyduck/Krabby/Goldeen~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Caterpie/Bellsprout/Metapod/Pidgey/Abra,None,Main~Super Rod:Psyduck/Krabby/Goldeen~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Oddish/Bellsprout/Pidgey/Pidgeotto/Venonat,None,Main~Super Rod:Goldeen/Seaking~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Main~Gift:Charmander
Route 25,Main:Weedle/Oddish/Kakuna/Pidgey/Abra/Caterpie/Metapod,None,Main~Super Rod:Psyduck/Krabby~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Weedle/Bellsprout/Kakuna/Pidgey/Abra/Caterpie/Metapod,None,Main~Super Rod:Psyduck/Krabby~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Main:Oddish/Bellsprout/Pidgey/Pidgeotto/Venonat,None,Main~Super Rod:Krabby/Kingler~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Celadon City,None,None,Main~Super Rod:Poliwhirl/Slowpoke~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Celadon Mansion~Gift:Eevee;Game Corner~Buy:Nidorina/Clefairy/Abra/Scyther/Porygon/Dratini,None,None,Main~Super Rod:Poliwhirl/Slowpoke~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Celadon Mansion~Gift:Eevee;Game Corner~Buy:Nidorino/Clefairy/Abra/Pinsir/Porygon/Dratini,None,None,Main~Super Rod:Goldeen~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Celadon Mansion~Gift:Eevee;Game Corner~Buy:Porygon/Vulpix/Wigglytuff/Abra/Scyther/Pinsir
Cerulean Cave,1F:Golbat/Magneton/Hypno/Arbok/Venomoth/Dodrio/Parasect/Kadabra/Raichu/Ditto;2F:Dodrio/Venomoth/Kadabra/Electrode/Marowak/Rhydon/Wigglytuff/Chansey/Ditto;B1F:Rhydon/Electrode/Marowak/Raichu/Parasect/Chansey/Ditto/Arbok,None,1F~Super Rod:Slowbro/Kingler/Seadra/Seaking~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;B1F~Super Rod:Slowbro/Kingler/Seadra/Seaking~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,B1F~Interact:Mewtwo,1F:Golbat/Magneton/Hypno/Sandslash/Venomoth/Dodrio/Parasect/Kadabra/Raichu/Ditto;2F:Dodrio/Venomoth/Kadabra/Electrode/Marowak/Rhydon/Wigglytuff/Chansey/Ditto;B1F:Rhydon/Electrode/Marowak/Raichu/Parasect/Chansey/Ditto/Sandslash,None,1F~Super Rod:Slowbro/Kingler/Seadra/Seaking~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;B1F~Super Rod:Slowbro/Kingler/Seadra/Seaking~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,B1F~Interact:Mewtwo,1F:Golbat/Graveler/Sandslash/Gloom/Weepinbell/Parasect/Venomoth/Ditto;2F:Golbat/Graveler/Sandslash/Rhyhorn/Ditto/Gloom/Weepinbell/Rhydon;B1F:Golbat/Gravler/Ditto/Rhyhorn/Rhydon/Lickitung/Chansey,None,1F~Super Rod:Goldeen/Seaking~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;B1F~Super Rod:Goldeen/Seaking~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,B1F~Interact:Mewtwo
Cerulean City,None,None,None,Main~Trade:Jynx,None,None,None,Main~Trade:Jynx,None,None,None,Main~Gift:Bulbasaur
Cinnabar Island,None,None,None,Main~Trade:Seel/Electrode/Tangela;Pokemon Lab~Revive:Omanyte/Kabuto/Aerodactyl,None,None,None,Main~Trade:Seel/Electrode/Tangela;Pokemon Lab~Revive:Omanyte/Kabuto/Aerodactyl,None,None,None,Main~Trade:Dewgong/Muk/Rhydon;Pokemon Lab~Revive:Omanyte/Kabuto/Aerodactyl
Diglett's Cave,1F:Diglett/Dugtrio,None,None,None,1F:Diglett/Dugtrio,None,None,None,1F:Diglett/Dugtrio,None,None,None
Fuchsia City,None,None,Main~Super Rod:Krabby/Goldeen/Seaking/Magikarp~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,None,None,Main~Super Rod:Krabby/Goldeen/Seaking/Magikarp~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,None,None,Main~Super Rod:Magikarp/Gyrados~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Mt. Moon,1F:Zubat/Clefairy/Paras/Geodude;B1F:Zubat/Geodude/Clefairy/Paras;B2F:Zubat/Geodude/Clefairy/Paras,None,None,None,1F:Zubat/Clefairy/Paras/Geodude;B1F:Zubat/Geodude/Clefairy/Paras;B2F:Zubat/Geodude/Clefairy/Paras,None,None,None,1F:Zubat/Clefairy/Sandshrew/Geodude;B1F:Zubat/Geodude/Clefairy/Paras;B2F:Zubat/Geodude/Clefairy/Paras,None,None,None
Pallet Town,None,None,Main~Super Rod:Poliwag/Tentacool~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Oak's Lab~Gift:Bulbasaur/Charmander/Squirtle,None,None,Main~Super Rod:Poliwag/Tentacool~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Oak's Lab~Gift:Bulbasaur/Charmander/Squirtle,None,None,Main~Super Rod:Tentacool/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,Oak's Lab~Gift:Pikachu
Pokemon Mansion,1F:Ponyta/Koffing/Grimer/Muk/Weezing/Growlithe;2F:Koffing/Growlithe/Ponyta/Grimer/Weezing/Muk;3F:Koffing/Ponyta/Growlithe/Weezing/Grimer/Muk;B1F:Koffing/Growlithe/Ponyta/Weezing/Grimer/Muk,None,None,None,1F:Ponyta/Grimer/Muk/Koffing/Weezing/Vulpix;2F:Grimer/Vulpix/Ponyta/Koffing/Muk/Wheezing;3F:Grimer/Vulpix/Muk/Ponyta/Koffing/Magmar/Wheezing;B1F:Grimer/Vulpix/Ponyta/Muk/Koffing/Magmar/Wheezing,None,None,None,1F:Rattata/Raticate/Growlithe/Grimer;2F:Rattata/Grimer/Raticate/Muk;3F:Rattata/Grimer/Raticate/Muk;B1F:Raticate/Grimer/Muk/Ditto,None,None,None
Pokemon Tower,3F:Gastly/Cubone/Haunter;4F:Gastly/Cubone/Haunter;5F:Gastly/Cubone/Haunter;6F:Gastly/Cubone/Haunter;7F:Gastly/Cubone/Haunter,None,None,None,3F:Gastly/Cubone/Haunter;4F:Gastly/Cubone/Haunter;5F:Gastly/Cubone/Haunter;6F:Gastly/Cubone/Haunter;7F:Gastly/Cubone/Haunter,None,None,None,3F:Gastly/Haunter;4F:Gastly/Haunter;5F:Gastly/Cubone/Haunter;6F:Gastly/Cubone/Haunter;7F:Gastly/Cubone/Haunter,None,None,None
Power Plant,Main:Pikachu/Magnemite/Voltorb/Electabuzz/Magneton,None,None,Main~Interact:Zapdos,Main:Pikachu/Magnemite/Voltorb/Raichu/Magneton,None,None,Main~Interact:Zapdos,Main:Magnemite/Muk/Magneton/Grimer/Voltorb,None,None,Main~Interact:Zapdos
Rock Tunnel,1F:Zubat/Geodude/Onix/Machop;B1F:Zubat/Geodude/Onix/Machop,None,None,None,1F:Zubat/Geodude/Onix/Machop;B1F:Zubat/Geodude/Onix/Machop,None,None,None,1F:Zubat/Geodude/Machop;B1F:Zubat/Geodude/Onix/Machop,None,None,None
Safari Zone,Center:Nidoran♂/Exeggcute/Venonat/Rhyhorn/Nidorina/Nidorino/Parasect/Scyther/Chansey;East:Nidoran♂/Exeggcute/Paras/Doduo/Nidorino/Nidoran♀/Parasect/Kangaskhan/Scyther;North:Nidoran♂/Exeggcute/Paras/Rhyhorn/Nidorino/Nidorina/Venomoth/Chansey/Tauros;West:Nidoran♂/Exeggcute/Venonat/Doduo/Nidorino/Nidoran♀/Venomoth/Tauros/Kangaskhan,None,Center~Super Rod:Psyduck/Slowpoke/Krabby/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;East~Super Rod:Psyduck/Slowpoke/Krabby/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;North~Super Rod:Psyduck/Slowpoke/Krabby/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;West~Super Rod:Psyduck/Slowpoke/Krabby/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Center:Nidoran♀/Exeggcute/Venonat/Rhyhorn/Nidorina/Nidorino/Parasect/Pinsir/Chansey;East:Nidoran♀/Exeggcute/Paras/Doduo/Nidorina/Nidoran♂/Parasect/Kangaskhan/Pinsir;North:Nidoran♀/Exeggcute/Paras/Rhyhorn/Nidorina/Nidorino/Venomoth/Chansey/Tauros;West:Nidoran♀/Exeggcute/Venonat/Doduo/Nidorina/Nidoran♂/Venomoth/Tauros/Kangaskhan,None,Center~Super Rod:Psyduck/Slowpoke/Krabby/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;East~Super Rod:Psyduck/Slowpoke/Krabby/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;North~Super Rod:Psyduck/Slowpoke/Krabby/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;West~Super Rod:Psyduck/Slowpoke/Krabby/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,Center:Nidoran♂/Nidoran♀/Parasect/Exeggcute/Nidorino/Rhyhorn/Paras/Tangela/Chansey;East:Nidoran♀/Exeggcute/Nidoran♂/Nidorina/Cubone/Tauros/Marowak/Chansey/Scyther;North:Nidoran♂/Nidoran♀/Exeggcute/Kangaskhan/Nidorina/Rhyhorn/Cubone/Scyther/Pinsir;West:Nidoran♂/Exeggcute/Nidoran♀/Nidorino/Cubone/Tauros/Marowak/Pinsir/Tangela,None,Center~Super Rod:Magikarp/Dratini/Dragonair~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;East~Super Rod:Magikarp/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;North~Super Rod:Magikarp/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;West~Super Rod:Magikarp/Dratini~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Saffron City,None,None,None,Fighting Dojo~Gift:Hitmonlee/Hitmonchan,None,None,None,Fighting Dojo~Gift:Hitmonlee/Hitmonchan,None,None,None,Fighting Dojo~Gift:Hitmonlee/Hitmonchan
Seafoam Islands,1F:Seel/Horsea/Shellder/Slowpoke/Zubat/Golbat/Psyduck/Golduck;B1F:Horsea/Staryu/Slowpoke/Seel/ShellderDewgong/Seadra;B2F:Seel/Slowpoke/Horsea/Staryu/Shellder/Golbat/Slowbro;B3F:Slowpoke/Seel/Shellder/Horsea/Seadra/Dewgong;B4F:Horsea/Shellder/Slowpoke/Seel/Slowbro/Golbat,None,B3F~Super Rod:Shellder/Horsea/Goldeen/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;B4F~Super Rod:Shellder/Horsea/Goldeen/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,B4F~Interact:Articuno,1F:Seel/Krabby/Staryu/Psyduck/Zubat/Golbat/Slowpoke/Slowbro;B1F:Shellder/Krabby/Psyduck/Seel/Staryu/Dewgong/Kingler;B2F:Seel/Psyduck/Krabby/Shellder/Staryu/Golbat/Golduck;B3F:Psyduck/Seel/Krabby/Staryu/Kingler/Dewgong;B4F:Krabby/Staryu/Psyduck/Seel/Golduck/Golbat,None,B3F~Super Rod:Shellder/Horsea/Goldeen/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;B4F~Super Rod:Shellder/Horsea/Goldeen/Staryu~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,B4F~Interact:Articuno,1F:Zubat/Krabby/Slowpoke/Golbat;B1F:Zubat/Krabby/Golbat/Slowpoke/Seel/Kingler;B2F:Zubat/Krabby/Golbat/Seel/Kingler/Slowpoke/Slowbro;B3F:Zubat/Golbat/Krabby/Seel/Kingler/Dewgong;B4F:Golbat/Zubat/Seel/Krabby/Kingler/Dewgong,B3F:Tentacool/Staryu;B4F:Tentacool/Staryu,B3F~Super Rod:Krabby/Staryu/Kingler~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;B4F~Super Rod:Krabby/Staryu/Kingler~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,B4F~Interact:Articuno
Silph Co.,None,None,None,Main~Gift:Lapras,None,None,None,Main~Gift:Lapras,None,None,None,Main~Gift:Lapras
Underground Path 5-6,None,None,None,Main~Trade:Nidoran♀,None,None,None,Main~Trade:Nidoran♀,None,None,None,Main~Trade:Machoke
Vermilion City,None,None,City~Super Rod:Shellder/Krabby~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;Harbor~Super Rod:Shellder/Krabby~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,City~Trade:Farfetch'd,None,None,City~Super Rod:Shellder/Krabby~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;Harbor~Super Rod:Shellder/Krabby~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,City~Trade:Farfetch'd,None,None,City~Super Rod:Tentacool/Horsea~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp;Harbor~Super Rod:Tentacool/Staryu/Shellder~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,City~Gift:Squirtle
Victory Road,1F:Onix/Machop/Zubat/Geodude/Golbat/Graveler/Machoke/Marowak;2F:Onix/Machop/Zubat/Geodude/Golbat/Machoke/Marowak/Graveler;3F:Machop/Onix/Zubat/Geodude/Venomoth/Golbat/Machoke/Graveler,None,None,2F~Interact:Moltres,1F:Onix/Machop/Zubat/Geodude/Golbat/Graveler/Machoke/Marowak;2F:Onix/Machop/Zubat/Geodude/Golbat/Machoke/Marowak/Graveler;3F:Machop/Onix/Zubat/Geodude/Venomoth/Golbat/Machoke/Graveler,None,None,2F~Interact:Moltres,1F:Geodude/Zubat/Onix/Graveler;2F:Geodude/Zubat/Golbat/Graveler/Onix/Machoke;3F:Geodude/Golbat/Graveler/Machoke/Onix,None,None,2F~Interact:Moltres
Viridian City,None,None,Main~Super Rod:Poliwag/Tentacool~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,None,None,Main~Super Rod:Poliwag/Tentacool~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None,None,None,Main~Super Rod:Poliwag~Good Rod:Poliwag/Goldeen~Old Rod:Magikarp,None
Viridian Forest,Main:Weedle/Kakuna/Caterpie/Metapod/Pikachu,None,None,None,Main:Caterpie/Metapod/Weedle/Kakuna/Pikachu,None,None,None,Main:Caterpie/Pidgeotto/Metapod/Pidgey,None,None,None
Unavailable,Sandshrew/Sandslash/Vulpix/Ninetales/Meowth/Persian/Bellsprout/Weepinbell/Victreebel/Magmar/Pinsir/Mew,None,None,None,Ekans/Arbok/Oddish/Gloom/Vileplume/Mankey/Primeape/Growlithe/Arcanine/Scyther/Electabuzz/Mew,None,None,None,Weedle/Kakuna/Beedrill/Ekans/Arbok/Meowth/Persian/Koffing/Wheezing/Jynx/Electabuzz/Magmar/Mew,None,None,None
